skip 	MyLake model input for Lake Auburn; initial state, Data for 4.22.13																													
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
0.00E+00	8.97E+06	6.6	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	18456	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
1.00E+00	8.63E+06	6.6	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	20057	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
2.00E+00	8.30E+06	6.5	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	20931	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
3.00E+00	7.94E+06	6.5	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	21988	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
4.00E+00	7.60E+06	6.4	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	23618	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
5.00E+00	7.24E+06	6.4	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	24836	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
6.00E+00	6.80E+06	6.3	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	25723	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
7.00E+00	6.20E+06	6.3	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	26600	52	0	3025	0.00E+00	0	0	0	7.08	0	0	0	0	0	0	0
8.00E+00	5.62E+06	6.3	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	27460	248	0	3025	0.00E+00	0	0	0	6.78	0	0	0	0	0	0	0
9.00E+00	5.10E+06	6.3	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	28367	248	0	3025	0.00E+00	0	0	0	6.78	0	0	0	0	0	0	0
1.00E+01	4.55E+06	6.3	0	0	12	6	0.3	4000	1000000	200000	0.9	0	0	10000	29171	248	0	3025	0.00E+00	0	0	0	6.78	0	0	0	0	0	0	0
